,escola,postal_code,district,neighborhood,tipus,no2_corregit,no2_2017,census_track,renta,poblacio
76,Escola Sant Martí (Sant Martí),8018,Sant Martí,el Poblenou,tràfic,41,39,10068,16949,1610
77,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,fons,39,38,10064,15899,1697
78,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,tràfic,45,43,10062,17183,1513
79,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,tràfic,52,50,10060,13587,1624
80,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,fons,39,38,10059,15703,1722
81,Escola Sant Martí (Sant Martí),8005,Sant Martí,el Poblenou,tràfic,50,48,10060,13587,1624
82,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,46,44,9064,15873,1197
83,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,64,62,9064,15873,1197
84,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,52,50,9064,15873,1197
85,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,aula,26,25,9063,16470,1154
86,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,pati,36,35,9063,16470,1154
87,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,pati,41,39,9063,16470,1154
88,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,pati,38,37,9063,16470,1154
89,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,pati,33,32,9063,16470,1154
90,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,45,43,9063,16470,1154
91,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,49,47,9063,16470,1154
92,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,51,49,9063,16470,1154
93,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,52,50,9058,14977,1491
94,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,52,50,9058,14977,1491
95,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,45,43,9067,13059,1497
96,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,45,43,9067,13059,1497
97,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,65,63,9068,15664,1569
98,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,44,42,9068,15664,1569
99,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,fons,48,46,9057,13562,1563
100,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,55,53,9067,13059,1497
101,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,51,49,9070,10916,1774
102,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,62,60,9056,15117,1144
103,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,110,106,9057,13562,1563
104,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,fons,58,56,9055,13253,1750
105,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,44,42,9060,14229,1331
106,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,44,42,9060,14229,1331
107,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,fons,33,32,9060,14229,1331
108,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,fons,37,36,9060,14229,1331
